signal_id	pair	timestamp_utc	direction	entry_price	sl_price	tp_price	sl_pips	tp_pips	atr	m15_close_24h_ago	m15_close_12h_ago	m15_close_1h_ago	related_eur_usd_24h_change_pct	related_usd_jpy_24h_change_pct	related_gbp_usd_24h_change_pct	day_of_week	hour_utc	is_tokyo_session	is_london_session	is_ny_session
GBP_JPY_01851_20251107_153000	GBP_JPY	2025-11-07T15:30:00+00:00	long	201.253	200.99725	201.7645	25.58	51.15	0.1705	201.259	201.016	200.823	0.2774	-0.0958	0.1732	4	15	0	1	1
GBP_JPY_01852_20251107_170000	GBP_JPY	2025-11-07T17:00:00+00:00	long	201.643	201.31804	202.29293	32.5	64.99	0.216643	200.652	200.865	201.509	0.2799	0.0614	0.3748	4	17	0	0	1
GBP_JPY_01853_20251107_204500	GBP_JPY	2025-11-07T20:45:00+00:00	long	201.802	201.55482	202.29636	24.72	49.44	0.164786	201.093	201.309	201.626	0.1845	0.132	0.2207	4	20	0	0	1
GBP_JPY_01854_20251110_050000	GBP_JPY	2025-11-10T05:00:00+00:00	long	202.399	202.20668	202.78364	19.23	38.46	0.128214	200.865	201.647	202.272	0.1421	0.5743	0.2157	0	5	1	0	0
GBP_JPY_01855_20251110_101500	GBP_JPY	2025-11-10T10:15:00+00:00	long	202.913	202.6955	203.348	21.75	43.5	0.145	201.135	201.919	202.641	0.3234	0.4319	0.5411	0	10	0	1	0
GBP_JPY_01856_20251110_163000	GBP_JPY	2025-11-10T16:30:00+00:00	short	202.687	202.87225	202.3165	18.52	37.05	0.1235	201.359	202.306	202.911	-0.0804	0.4898	0.1209	0	16	0	0	1
GBP_JPY_01857_20251110_171500	GBP_JPY	2025-11-10T17:15:00+00:00	short	202.662	202.87264	202.24071	21.06	42.13	0.140429	201.53	202.426	202.814	-0.2281	0.5812	-0.0266	0	17	0	0	1
GBP_JPY_01858_20251110_214500	GBP_JPY	2025-11-10T21:45:00+00:00	long	203.03	202.87775	203.3345	15.23	30.45	0.1015	202.043	202.671	202.956	0.013	0.3217	0.1695	0	21	0	0	1
GBP_JPY_01859_20251111_030000	GBP_JPY	2025-11-11T03:00:00+00:00	long	203.176	203.00725	203.5135	16.88	33.75	0.1125	202.269	203.169	203.089	-0.0303	0.3205	0.1011	1	3	1	0	0
GBP_JPY_01860_20251111_073000	GBP_JPY	2025-11-11T07:30:00+00:00	short	203.017	203.12961	202.79179	11.26	22.52	0.075071	202.547	202.816	203.207	-0.0026	0.1221	0.0836	1	7	1	1	0
GBP_JPY_01861_20251111_084500	GBP_JPY	2025-11-11T08:45:00+00:00	short	202.844	202.99507	202.54186	15.11	30.21	0.100714	202.408	202.956	202.921	-0.0156	0.1084	0.0982	1	8	1	1	0
GBP_JPY_01862_20251111_090000	GBP_JPY	2025-11-11T09:00:00+00:00	short	202.488	202.68911	202.08579	20.11	40.22	0.134071	202.669	202.987	203.052	-0.0674	0.0961	-0.2371	1	9	0	1	0
GBP_JPY_01863_20251111_164500	GBP_JPY	2025-11-11T16:45:00+00:00	long	202.977	202.7505	203.43	22.65	45.3	0.151	202.86	203.195	202.535	0.3122	-0.0545	0.1132	1	16	0	0	1
GBP_JPY_01864_20251111_234500	GBP_JPY	2025-11-11T23:45:00+00:00	short	202.681	202.78257	202.47786	10.16	20.31	0.067714	203.04	202.623	202.843	0.2198	0.0091	-0.186	1	23	0	0	0
